TargetUserName,Timestamp,SubjectUserName,EventID,ParentProcessName,CommandLine,ProcessName,RowID
DESKTOP-A3EGFSV$,2026-04-20 18:12:23.123100+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\services.exe,C:\WINDOWS\system32\sppsvc.exe,,686
,2026-04-20 18:12:23.713310+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\System32\taskhostw.exe,687
-,2026-04-20 18:12:44.663366+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\svchost.exe,taskhostw.exe,,688
,2026-04-20 18:12:45.675751+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\System32\taskhostw.exe,689
,2026-04-20 18:12:53.277575+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\System32\sppsvc.exe,690
-,2026-04-20 18:13:01.914780+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\svchost.exe,taskhostw.exe SBServicing,,691
,2026-04-20 18:13:04.151129+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\System32\wbem\WmiPrvSE.exe,692
,2026-04-20 18:13:04.332493+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\System32\taskhostw.exe,693
,2026-04-20 18:13:06.607525+00:00,LOCAL SERVICE,4689,,,C:\Windows\System32\audiodg.exe,694
,2026-04-20 18:13:09.131369+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\System32\svchost.exe,695
,2026-04-20 18:13:22.679928+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\System32\svchost.exe,696
,2026-04-20 18:13:26.785130+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.26100.8247_none_a53a4f5b773e04f9\TiWorker.exe,697
,2026-04-20 18:13:26.788885+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\servicing\TrustedInstaller.exe,698
-,2026-04-20 18:13:43.198767+00:00,DESKTOP-A3EGFSV$,4625,,,C:\Windows\System32\svchost.exe,699
-,2026-04-20 18:13:46.952950+00:00,DESKTOP-A3EGFSV$,4625,,,C:\Windows\System32\svchost.exe,700
-,2026-04-20 18:13:49.667988+00:00,DESKTOP-A3EGFSV$,4625,,,C:\Windows\System32\svchost.exe,701
-,2026-04-20 18:13:51.822079+00:00,DESKTOP-A3EGFSV$,4625,,,C:\Windows\System32\svchost.exe,702
-,2026-04-20 18:13:53.671764+00:00,DESKTOP-A3EGFSV$,4625,,,C:\Windows\System32\svchost.exe,703
-,2026-04-20 18:13:55.684879+00:00,DESKTOP-A3EGFSV$,4625,,,C:\Windows\System32\svchost.exe,704
,2026-04-20 18:14:07.989149+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\System32\svchost.exe,705
,2026-04-20 18:14:13.657448+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\System32\SearchProtocolHost.exe,706
-,2026-04-20 18:14:17.271673+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\system32\usoclient.exe"" StartWork",,707
-,2026-04-20 18:14:17.299431+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\uus\packages\preview\AMD64\MoUsoCoreWorker.exe"" useprivatenamespaces",,708
SYSTEM,2026-04-20 18:14:17.383083+00:00,DESKTOP-A3EGFSV$,4624,,,C:\Windows\System32\services.exe,709
